ToolID,ToolCode,CompanyCode,Model,Barcode,Description,CreatedDate,UpdatedDate,IsActive
403,DCGT11T302MFP-GQ,MFC,DCGT11T302MFP-GQ,NULL,"INSERT PHÁ THÔ R0.2","2019-03-13 16:17:11","2019-03-16 15:56:32",1
404,SNMG120404HQ-PV720,MFC,SNMG120404HQ-PV720,NULL,"INSERT PHÁ THÔ R0.4","2019-03-13 16:17:11","2019-03-16 15:56:32",1
405,SNMG120408PG-PR1535,MFC,SNMG120408PG-PR1535,NULL,"INSERT PHÁ THÔ R0.8","2019-03-13 16:17:11","2019-03-16 15:56:32",1
406,TKF16L150-S-PR1225,MFC,TKF16L150-S-PR1225,NULL,"INSERT CẮT ĐỨT ","2019-03-13 16:17:11","2019-03-16 15:56:32",1
407,11IRA55IC908,MFC,11IRA55IC908,NULL,"INSERT TIỆN REN TRONG PHẢI 55 ĐỘ ","2019-03-13 16:17:11","2019-03-16 15:56:32",1
408,11IRA60IC908,MFC,11IRA60IC908,NULL,"INSERT TIỆN REN TRONG PHẢI 60 ĐỘ","2019-03-13 16:17:11","2019-03-16 15:56:32",1
409,16ER0.80-ISO-IC908,MFC,16ER0.80-ISO-IC908,NULL,"INSERT TIỆN REN NGOÀI BƯỚC 0.8","2019-03-13 16:17:11","2019-03-16 15:56:32",1
410,16ER1.25-ISO-IC908,MFC,16ER1.25-ISO-IC908,NULL,"INSERT TIỆN REN NGOÀI BƯỚC 1.25","2019-03-13 16:17:11","2019-03-16 15:56:32",1
411,16IRM3.0-ISO-IC908,MFC,16IRM3.0-ISO-IC908,NULL,"INSERT TIỆN REN NGOÀI BƯỚC 3.0","2019-03-13 16:17:11","2019-03-16 15:56:32",1
412,16ERM2.50-ISO-IC908,MFC,16ERM2.50-ISO-IC908,NULL,"INSERT TIỆN REN NGOÀI BƯỚC 2.50","2019-03-13 16:17:11","2019-03-16 15:56:32",1
413,16ERM1.50-ISO-IC908,MFC,16ERM1.50-ISO-IC908,NULL,"INSERT TIỆN REN NGOÀI BƯỚC 1.50","2019-03-13 16:17:11","2019-03-16 15:56:32",1
414,16ERM1.75-ISO-IC908,MFC,16ERM1.75-ISO-IC908,NULL,"INSERT TIỆN REN NGOÀI BƯỚC 1.75","2019-03-13 16:17:11","2019-03-16 15:56:32",1
415,16ERM2.0-ISO-IC908,MFC,16ERM2.0-ISO-IC908,NULL,"INSERT TIỆN REN NGOÀI BƯỚC 2.0","2019-03-13 16:17:11","2019-03-16 15:56:32",1
416,16ERM1.0-ISO-IC908,MFC,16ERM1.0-ISO-IC908,NULL,"INSERT TIỆN REN NGOÀI BƯỚC 1.0","2019-03-13 16:17:11","2019-03-16 15:56:32",1
417,JDMT070208R-JP4020,MFC,JDMT070208R-JP4020,NULL,"INSERT PHAY CÁN 10,12 R0.8","2019-03-13 16:17:11","2019-03-16 15:56:32",1
418,APMT1135PDER-H2,MFC,APMT1135PDER-H2,NULL,"INSERT PPHAY R0.8","2019-03-13 16:17:11","2019-03-16 15:56:32",1
419,SOGT12T308PEEFR-JP,MFC,SOGT12T308PEEFR-JP,NULL,"INSERT PHAY R0.8","2019-03-13 16:17:11","2019-03-16 15:56:32",1
420,JDMT09T320ZDSR-JM-VP15TF,MFC,JDMT09T320ZDSR-JM-VP15TF,NULL,"INSERT PHAY","2019-03-13 16:17:11","2019-03-16 15:56:32",1
421,XPLT060308ER-D41,MFC,XPLT060308ER-D41,NULL,"INSERT PHAY R1.6","2019-03-13 16:17:11","2019-03-16 15:56:32",1
422,BLMP0603R-ML-TT9080,MFC,BLMP0603R-ML-TT9080,NULL,"INSER PHAY ","2019-03-13 16:17:11","2019-03-16 15:56:32",1
423,ZSPM4030-05,MFC,ZSPM4030-05,NULL,"ENDMILL 3R0.5","2019-03-13 16:17:11","2019-03-16 15:56:32",1
424,ZSPM4060-05,MFC,ZSPM4060-05,NULL,"ENDMILL 6R0.5","2019-03-13 16:17:11","2019-03-16 15:56:32",1
425,ZSPM4060-10,MFC,ZSPM4060-10,NULL,"ENDMILL 6R1.0","2019-03-13 16:17:11","2019-03-16 15:56:32",1
426,ZSPM4080-10,MFC,ZSPM4080-10,NULL,"ENDMILL 8R1.0","2019-03-13 16:17:11","2019-03-16 15:56:32",1
427,LDS030,MFC,LDS030,NULL,"CHAMPER 3","2019-03-13 16:17:11","2019-03-16 15:56:32",1
428,LDS040,MFC,LDS040,NULL,"CHAMPER 4","2019-03-13 16:17:11","2019-03-16 15:56:32",1
429,LDS060,MFC,LDS060,NULL,"CHAMPER 6","2019-03-13 16:17:11","2019-03-16 15:56:32",1
433,16ERM3.00-ISO-IC908,MFC,16ERM3.00-ISO-IC908,NULL,"INSERT TIỆN REN NGOÀI BƯỚC 3.0
","2019-03-15 10:38:10","2019-03-16 15:57:23",1
